roundness,perimeter_ratio_to_diameter,compactness,eccentricity,aspect_ratio,rectangularity,narrow_factor,perimeter_ratio_major_minor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu7,mean_R,mean_G,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_R,kurtosis_G,kurtosis_B,contrast,correlation,energy,homogeneity,class
0.46959,3.241,5.1731,0.77545,1.5838,0.77577,1.1171,2.2192,0.17847,0.005887,0.000039,0.000004,0,0,0,80.158,77.69,15.977,18.435,19.435,21.756,-0.17085,-0.31368,1.255,4.1146,4.2228,3.6325,0.14418,0.98816,0.22826,0.93242,1
0.38885,3.3324,5.6848,0.83482,1.8165,0.76673,1.1083,2.382,0.19294,0.010649,0.000239,0.000048,0,0.000005,0,86.738,87.781,30.296,17.873,18.164,25.002,0.083894,-0.17915,0.4763,4.5146,4.5284,2.3768,0.12541,0.98877,0.24961,0.94045,1
0.49982,3.3298,5.0141,0.71525,1.4309,0.78061,1.1122,2.18,0.17052,0.003435,0.000001,0,0,0,0,74.46,78.532,2.7216,19.419,18.767,10.26,-0.02004,-0.018083,4.9522,3.8849,3.9839,32.277,0.14515,0.98756,0.22674,0.93102,1
0.53372,2.8696,4.8523,0.83346,1.8097,0.77699,1.108,2.0479,0.19002,0.010225,0.000023,0.000003,0,0,0,83.532,83.735,19.606,17.38,17.757,21.768,-0.43516,-0.56703,0.87271,4.4226,4.6967,2.736,0.13433,0.9879,0.25311,0.93668,1
0.46178,3.1442,5.2166,0.79576,1.6512,0.76804,1.1315,2.2158,0.18365,0.00724,0.000027,0.000007,0,0.000001,0,86.395,84.733,22.824,17.463,18.199,24.194,0.074417,-0.075702,0.79375,3.7208,3.9286,2.5954,0.14002,0.98762,0.24221,0.93387,1
0.49706,3.2316,5.028,0.7552,1.5256,0.78155,1.1137,2.1739,0.17442,0.004841,0.000013,0.000001,0,0,0,82.709,85.109,10.327,16.689,16.945,17.273,-0.15082,-0.17402,1.9375,4.3048,4.424,6.6374,0.12295,0.98841,0.2726,0.94138,1
0.44479,3.2855,5.3153,0.80049,1.6685,0.77046,1.0994,2.2584,0.18397,0.007522,0.000087,0.000014,0,0.000001,0,82.212,83.995,12.751,19.927,20.289,21.105,-0.14618,-0.34278,1.6681,3.6341,3.8942,4.9575,0.13927,0.9877,0.23039,0.93424,1
0.41961,3.6225,5.4724,0.71722,1.435,0.7777,1.1121,2.3742,0.17133,0.003519,0.000047,0.000003,0,0,0,82.288,79.948,16.312,17.625,18.607,21.5,0.1831,-0.06265,1.247,3.866,3.9571,3.8,0.14844,0.98697,0.23625,0.93099,1
0.39037,3.4155,5.6737,0.8084,1.6988,0.76663,1.1159,2.3991,0.18649,0.008192,0.000167,0.000026,0,0.000002,0,84.376,87.511,19.585,16.562,16.578,21.691,0.28028,0.010588,1.0431,4.8961,4.845,3.5043,0.1208,0.98942,0.27455,0.94268,1
0.41798,3.2782,5.4831,0.81677,1.7332,0.77588,1.1191,2.3264,0.18609,0.008675,0.000076,0.00001,0,0.000001,0,86.965,88.461,19.869,18.813,19.188,24.277,-0.12007,-0.44792,0.9956,3.6794,4.1702,2.9234,0.12461,0.98864,0.24177,0.9406,1
0.47542,3.4158,5.1412,0.71047,1.421,0.78178,1.1164,2.2383,0.16986,0.003288,0.000004,0,0,0,0,83.944,79.621,13.689,16.052,17.929,19.078,-0.13463,-0.34491,1.411,3.6089,4.121,4.4018,0.13045,0.98828,0.2571,0.93889,1
0.56498,3.3655,4.7162,0.68056,1.3648,0.78344,1.0617,2.0622,0.16733,0.002543,0.000005,0,0,0,0,86.819,90.96,12.399,17.113,17.176,17.73,-0.19221,-0.13789,1.5272,4.0637,3.9253,5.0487,0.12275,0.98694,0.27354,0.94187,1
0.42369,3.0577,5.4461,0.85432,1.924,0.7728,1.1288,2.2711,0.19764,0.012898,0.000153,0.000021,0,0.000002,0,86.547,90.012,24.639,18.985,18.822,24.973,0.049932,-0.19863,0.76058,3.7409,4.0344,2.6332,0.12592,0.98851,0.24222,0.94013,1
0.42867,3.3625,5.4143,0.79213,1.6384,0.77415,1.1068,2.3111,0.18155,0.006889,0.000124,0.000012,0,0.000001,0,88.01,89.305,23.116,19.122,19.208,24.76,-0.15477,-0.40386,0.81429,3.8842,4.1186,2.7028,0.12454,0.98837,0.23769,0.94031,1
0.48415,3.1283,5.0946,0.80862,1.6997,0.77491,1.0996,2.1658,0.18454,0.008035,0.000104,0.000012,0,0.000001,0,85.299,85.631,32.549,17.861,18.218,24.58,-0.088947,-0.32615,0.35318,4.2151,4.4908,2.3793,0.12661,0.98819,0.25138,0.94052,1
0.37982,3.531,5.752,0.80313,1.6784,0.76904,1.1027,2.4399,0.18482,0.007741,0.000055,0.000012,0,0.000001,0,83.3,87.878,12.59,15.997,15.571,18.096,0.47724,0.30543,1.7493,5.4688,5.4606,6.0907,0.11794,0.98914,0.29638,0.94538,1
0.43733,3.4645,5.3604,0.7665,1.557,0.77868,1.0942,2.3083,0.17652,0.005391,0.00002,0.000001,0,0,0,90.551,92.713,36.213,16.003,16.253,21.999,0.048398,-0.12153,0.021137,4.7123,4.4458,2.4851,0.12072,0.98783,0.26038,0.9422,1
0.42639,3.2939,5.4288,0.79945,1.6647,0.7738,1.1237,2.3123,0.18297,0.007384,0.000095,0.000012,0,0.000001,0,81.997,82.159,18.076,16.942,17.896,22.258,0.18903,-0.060206,1.1208,3.8612,4.0364,3.3753,0.13167,0.9891,0.25378,0.93769,1
0.48035,2.9964,5.1148,0.83372,1.811,0.77232,1.1147,2.1519,0.19124,0.010377,0.000119,0.000021,0,0.000002,0,77.937,79.684,12.627,20.802,20.672,20.828,-0.050176,-0.13267,1.6173,3.1741,3.2084,4.6986,0.14403,0.9885,0.2203,0.93164,1
0.41133,3.3164,5.5273,0.8126,1.7158,0.77171,1.1177,2.3419,0.18616,0.008419,0.000012,0.000003,0,0,0,80.476,82.244,12.056,16.304,16.722,17.614,-0.025335,-0.23233,1.7258,5.2513,5.3833,6.1175,0.13438,0.98785,0.26267,0.93733,1
0.42552,3.4929,5.4343,0.75466,1.5241,0.7786,1.112,2.3453,0.17501,0.004855,0.000016,0.000001,0,0,0,70.583,73.788,3.7101,16.678,16.927,10.987,0.13055,0.039005,3.9915,5.0501,4.8991,22.436,0.14407,0.98844,0.22668,0.93177,1
0.42162,3.3405,5.4594,0.81558,1.7282,0.7762,1.0953,2.3177,0.18575,0.008568,0.000068,0.000009,0,0.000001,0,86.444,87.22,46.3,16.094,16.928,22.108,-0.10867,-0.18741,-0.2296,4.7673,4.6874,2.848,0.11468,0.98914,0.27393,0.94571,1
0.44824,3.3002,5.2948,0.79505,1.6487,0.78111,1.1043,2.2685,0.18045,0.006953,0.000003,0,0,0,0,77.737,79.178,9.7387,16.966,17.282,15.934,-0.13686,-0.22195,1.9236,4.6034,4.6014,6.7426,0.13487,0.98822,0.24758,0.93658,1
0.44391,3.2495,5.3206,0.81892,1.7425,0.77928,1.095,2.2607,0.18578,0.008784,0.000011,0.000001,0,0,0,84.42,87.495,18.681,16.879,16.824,20.196,-0.18265,-0.26145,0.91477,4.7342,4.8113,3.1681,0.1212,0.98869,0.27358,0.94297,1
0.50307,3.0557,4.9979,0.80065,1.6691,0.77937,1.1177,2.1357,0.18189,0.007362,0.000027,0.000001,0,0,0,79.643,74.298,8.9569,19.16,20.437,17.515,-0.11351,-0.37168,2.5042,4.4225,4.2462,10.619,0.1576,0.98699,0.22371,0.92831,1
0.50364,3.4042,4.9951,0.71935,1.4396,0.77779,1.0786,2.1666,0.1715,0.003583,0.00001,0.000001,0,0,0,86.37,89.476,1.7872,16.319,17.727,7.8189,0.31117,0.11192,6.8113,4.3522,3.9439,67.021,0.12783,0.98665,0.28786,0.94255,1
0.45757,3.2523,5.2406,0.7839,1.6106,0.77593,1.1184,2.2441,0.17974,0.006355,0.00004,0.000003,0,0,0,80.507,79.921,20.958,18.663,19.491,22.489,-0.10695,-0.31789,0.8125,3.7372,3.851,2.7594,0.13296,0.989,0.23897,0.93875,1
0.42581,3.4696,5.4325,0.7838,1.6103,0.77609,1.087,2.3266,0.17969,0.006347,0.000089,0.000008,0,0.000001,0,85.252,87.948,23.688,18.431,18.834,23.184,-0.20159,-0.30681,0.65329,3.9424,3.9278,2.4718,0.12859,0.98824,0.23973,0.93891,1
0.40869,3.378,5.5451,0.79318,1.6421,0.7678,1.1225,2.3566,0.18324,0.007072,0.000165,0.000026,0,0.000002,0,77.191,81.341,11.026,18.35,18.209,19.352,0.30514,0.15944,1.9018,4.0995,3.996,6.1153,0.14599,0.9879,0.22656,0.93081,1
0.41465,3.412,5.5051,0.7729,1.576,0.75655,1.1179,2.3336,0.18261,0.006049,0.000028,0.000003,0,0,0,87.234,84.152,35.827,16.884,17.96,23.988,-0.075448,-0.2158,0.091788,4.1079,4.2003,2.266,0.1242,0.98888,0.25308,0.942,1
0.30485,3.8739,6.4204,0.79928,1.664,0.76893,1.1266,2.7262,0.1841,0.007466,0.000041,0.000014,0,0.000001,0,93.177,94.755,43.963,17.183,17.513,21.909,0.046847,-0.1887,0.005122,4.1105,4.1515,2.6864,0.11459,0.98872,0.24703,0.94565,1
0.41132,3.0371,5.5273,0.864,1.9862,0.77164,1.1344,2.2915,0.20165,0.014422,0.000105,0.000027,0,0.000003,0,79.803,81.566,17.621,17.97,18.19,22.312,-0.071162,-0.145,1.1114,3.7611,3.6671,3.2814,0.14379,0.988,0.23674,0.93188,1
0.4729,3.2298,5.1549,0.76358,1.5487,0.77722,1.1307,2.219,0.17646,0.005272,0.000024,0.000002,0,0,0,79.842,79.596,21.699,17.212,17.662,22.366,-0.26957,-0.45644,0.75975,3.8655,4.1344,2.6403,0.12236,0.98974,0.25321,0.94183,1
0.4362,3.2047,5.3674,0.81405,1.7218,0.77389,1.1229,2.2763,0.18596,0.008491,0.000038,0.000005,0,0,0,81.483,81.699,26.095,17.147,17.704,23.199,-0.15846,-0.25016,0.53734,3.9632,4.0215,2.3307,0.1221,0.9896,0.25346,0.94241,1
0.53639,3.299,4.8402,0.70428,1.4086,0.78147,1.0928,2.1084,0.16943,0.003122,0.000003,0,0,0,0,77.53,82.259,0.8997,18.178,18.234,5.4882,-0.4878,-0.45682,9.5447,4.2658,4.1018,128.04,0.13604,0.98744,0.26301,0.93662,1
0.48862,3.0523,5.0713,0.80886,1.7007,0.77884,1.1244,2.1611,0.18366,0.007972,0.000008,0.000001,0,0,0,81.597,84.236,8.4471,18.325,18.124,15.622,-0.59053,-0.63269,2.2673,4.486,4.59,9.024,0.12173,0.98939,0.27173,0.94413,1
0.47335,3.3097,5.1524,0.81569,1.7287,0.77969,1.0455,2.1922,0.18494,0.0085,0.000041,0.000005,0,0,0,86.468,87.643,30.23,17.833,18.113,23.306,-0.40032,-0.59289,0.35305,5.3184,5.3965,2.3314,0.1244,0.98752,0.26048,0.94111,1
0.46514,3.2588,5.1977,0.77664,1.5874,0.7797,1.1178,2.2349,0.17774,0.005891,0.000005,0.000001,0,0,0,81.152,90.5,0.5421,17.62,16.982,5.2577,0.013923,-0.025003,13.511,4.6254,4.3951,222.88,0.13119,0.98733,0.28826,0.9385,1
0.43629,3.2436,5.3668,0.80555,1.6877,0.7671,1.1155,2.272,0.18578,0.007962,0.000146,0.000018,0,0.000002,0,82.555,79.137,26.514,18.631,19.713,25.369,-0.072809,-0.32237,0.56626,3.529,3.8338,2.2543,0.13005,0.98938,0.23403,0.93845,1
0.48245,3.0478,5.1036,0.8256,1.7723,0.7783,1.1097,2.1621,0.18763,0.00941,0.000025,0.000002,0,0,0,84.215,82.542,13.158,16.471,17.305,18.102,-0.41922,-0.5449,1.4053,4.7686,5.1346,4.5685,0.12841,0.98825,0.26923,0.9403,1
0.43249,3.2049,5.3903,0.82484,1.7688,0.77402,1.1126,2.2779,0.18848,0.009442,0.000007,0.000002,0,0,0,81.486,83.06,10.016,17.29,17.929,16.924,-0.026685,-0.11509,1.9347,4.0571,4.0169,6.6424,0.12232,0.98973,0.26296,0.94265,1
0.48873,3.3286,5.0707,0.79909,1.6633,0.77585,1.0404,2.1628,0.18242,0.007321,0.000143,0.000016,0,0.000001,0,86.107,85.783,18.914,18.572,18.887,22.378,-0.072122,-0.29977,0.9916,3.885,3.9098,3.0839,0.14247,0.986,0.23779,0.93359,1
0.44435,3.4551,5.3179,0.75574,1.527,0.77953,1.0997,2.296,0.17493,0.004889,0.00002,0.000001,0,0,0,81.93,84.492,18.193,14.632,14.718,18.725,0.32702,0.26289,1.1246,6.3169,6.1726,4.2484,0.12161,0.98829,0.31033,0.9422,1
0.45814,3.4213,5.2373,0.74651,1.5029,0.77988,1.1027,2.2654,0.17377,0.004505,0.000002,0,0,0,0,71.186,79.224,0.67092,20.459,19.413,5.3617,0.1003,0.10654,11.262,4.1593,4.1451,163,0.16684,0.98583,0.20671,0.92156,1
0.44937,3.4332,5.2881,0.72838,1.4595,0.76203,1.113,2.2675,0.1759,0.004033,0.000002,0,0,0,0,77.506,81.739,4.2004,20.321,20.16,12.049,-0.25257,-0.25588,3.8261,4.1055,3.9133,20.501,0.12946,0.98901,0.23932,0.93908,1
0.53894,3.3678,4.8287,0.72555,1.4531,0.78256,1.0522,2.0991,0.17102,0.003732,0.000004,0,0,0,0,71.83,77.059,3.3107,18.34,17.335,10.443,-0.11659,-0.075956,4.2707,4.5744,4.2495,25.536,0.17439,0.98391,0.22171,0.91992,1
0.41199,3.5554,5.5228,0.78036,1.5991,0.77304,1.08,2.3625,0.17985,0.006199,0.000097,0.000013,0,0.000001,0,76.955,76.005,25.285,18.083,18.708,24.355,0.2838,0.13374,0.7455,4.463,4.4064,2.7111,0.14554,0.98803,0.22229,0.93045,1
0.4871,3.2524,5.0792,0.75369,1.5215,0.77902,1.1174,2.193,0.1748,0.004808,0.000009,0.000001,0,0,0,79.247,87.068,2.4622,17.595,16.983,8.704,-0.14517,-0.046325,5.3247,4.2869,4.0439,41.155,0.13939,0.98679,0.2674,0.93619,1
0.45385,3.2239,5.262,0.80026,1.6676,0.77736,1.1144,2.2459,0.18229,0.007373,0.000023,0.000003,0,0,0,84.227,86.132,25.657,16.734,17.051,22.129,-0.038928,-0.19961,0.53461,4.067,4.1492,2.5019,0.12352,0.98879,0.26103,0.94194,1
0.42869,3.3388,5.4142,0.79632,1.6532,0.77743,1.112,2.3134,0.18153,0.007103,0.000075,0.000006,0,0,0,83.248,81.479,29.788,16.832,17.793,22.856,-0.18753,-0.41953,0.31567,3.9303,4.3777,2.3786,0.12004,0.98969,0.26538,0.9436,1
0.47475,3.2248,5.1448,0.77828,1.5926,0.77902,1.1158,2.2104,0.17815,0.00599,0.000021,0.000001,0,0,0,81.448,85.024,11.477,17.501,17.897,17.715,-0.23393,-0.39122,1.6185,3.9802,4.0287,5.1664,0.12816,0.98849,0.26178,0.93989,1
0.44286,3.3602,5.3269,0.78749,1.6225,0.77556,1.096,2.2785,0.18042,0.006575,0.000048,0.000005,0,0,0,81.235,84.184,10.801,17.726,17.75,17.346,-0.045869,-0.13509,1.815,4.1741,3.9792,6.1162,0.12681,0.98906,0.26043,0.94088,1
0.4102,3.3971,5.5349,0.7693,1.5652,0.77662,1.1477,2.3789,0.17738,0.005558,0.000036,0.000003,0,0,0,85.971,91.26,20.82,19.129,18.603,22.4,-0.15137,-0.32685,0.95108,4.7695,4.6928,3.2994,0.12191,0.98877,0.25251,0.94206,1
0.46799,3.4549,5.1819,0.74849,1.508,0.77995,1.0787,2.2408,0.17398,0.004583,0.000029,0.000003,0,0,0,85.26,87.451,19.464,15.983,16.212,20.229,-0.31331,-0.3079,0.86719,5.2288,4.9238,3.1471,0.1203,0.98835,0.27846,0.94251,1
0.42974,3.1943,5.4076,0.82824,1.7845,0.77542,1.1159,2.2845,0.189,0.009735,0.000088,0.00001,0,0.000001,0,80.012,80.624,17.276,18.446,18.689,22.564,-0.1353,-0.27008,1.1355,3.7105,3.8793,3.254,0.14607,0.98785,0.22817,0.93077,1
0.47308,3.0572,5.1539,0.81643,1.7318,0.78023,1.1316,2.193,0.18498,0.00855,0.000003,0,0,0,0,86.175,94.842,3.4493,18.49,17.718,9.9996,-0.515,-0.52031,3.9425,4.445,4.3534,22.973,0.11596,0.98894,0.27402,0.94547,1
0.35108,3.5907,5.9827,0.78748,1.6225,0.77519,1.1517,2.5585,0.18051,0.006581,0.000003,0.000001,0,0,0,82.544,86.268,18.466,17.245,17.295,20.217,0.33898,0.059226,1.0958,5.1332,4.973,3.7389,0.13744,0.98621,0.27154,0.9361,1
0.45622,3.252,5.2483,0.7765,1.587,0.77619,1.1287,2.2516,0.17852,0.005936,0.000027,0.000003,0,0,0,74.744,77.147,6.1317,17.451,17.69,13.814,0.15599,0.031601,2.7219,4.2396,4.1775,11.189,0.15172,0.98771,0.22708,0.92912,1
0.47939,3.2671,5.1199,0.79032,1.6321,0.77775,1.0818,2.1915,0.18039,0.006711,0.000077,0.000009,0,0.000001,0,85.269,84.622,20.738,17.985,18.843,22.999,-0.24923,-0.37778,0.81324,3.5162,3.7082,2.6205,0.13242,0.98748,0.23668,0.93691,1
0.43504,3.3526,5.3745,0.78962,1.6297,0.77907,1.1084,2.3029,0.17997,0.006645,0.000037,0.000003,0,0,0,90.781,93.984,40.9,16.67,16.571,20.993,-0.22771,-0.39433,-0.13858,4.6923,4.8258,2.7288,0.12073,0.98766,0.24898,0.94248,1
0.5002,3.2213,5.0123,0.75369,1.5215,0.77657,1.1116,2.1607,0.17535,0.004839,0.000107,0.000003,0,0,0,83.751,86.202,28.756,16.089,16.351,21.826,-0.11967,-0.28259,0.30356,4.6027,4.7815,2.2848,0.12138,0.98863,0.27503,0.94281,1
0.49397,3.3581,5.0438,0.72143,1.4441,0.77898,1.1032,2.1888,0.17142,0.003636,0.000019,0,0,0,0,70.342,76.622,2.2008,17.557,16.76,9.0379,0.20718,0.20427,5.8634,5.259,4.8801,47.482,0.16977,0.98573,0.21892,0.9222,1
0.41539,3.5262,5.5002,0.76248,1.5456,0.77194,1.1023,2.3601,0.17752,0.005293,0.000074,0.000009,0,0.000001,0,80.278,84.527,14.109,15.468,15.426,18.327,0.15206,0.069004,1.4376,4.9355,4.6675,4.9248,0.11485,0.9897,0.28748,0.94587,1
0.46052,3.234,5.2237,0.80047,1.6684,0.77883,1.1036,2.2315,0.18199,0.00736,0.000032,0.000004,0,0,0,85.355,90.581,15.939,18.071,17.873,19.734,-0.28062,-0.3335,1.1633,4.2185,4.217,3.6536,0.11544,0.98908,0.26547,0.94549,1
0.4796,3.2283,5.1188,0.75335,1.5206,0.78009,1.1357,2.2118,0.17452,0.004781,0.000003,0,0,0,0,87.172,90.935,6.0896,17.323,17.811,13.138,-0.27036,-0.26133,2.719,4.0453,3.8655,11.776,0.12605,0.98814,0.26361,0.94052,1
0.33739,4.0623,6.1029,0.58169,1.2294,0.73165,1.159,2.5963,0.1745,0.001263,0.00012,0.000002,0,0,0,66.559,57.182,0.36878,13.637,16.095,4.0713,0.11111,0.16916,15.626,6.0335,5.1977,305.07,0.10144,0.99377,0.31779,0.95211,2
0.26296,4.3909,6.9129,0.61592,1.2693,0.70417,1.1726,2.88,0.18259,0.001827,0.000254,0,0,0,0,76.278,72.863,18.751,14.961,17.188,17.497,0.30735,-0.13353,0.80063,5.1703,4.6228,3.1882,0.10039,0.99301,0.29141,0.95122,2
0.25903,4.6022,6.9651,0.59912,1.249,0.73709,1.1627,2.9715,0.17379,0.001445,0.000127,0.000001,0,0,0,70.451,69.904,18.596,12.304,13.795,15.338,0.030064,-0.011524,0.78061,8.0174,7.017,3.6846,0.12366,0.99163,0.2785,0.94004,2
0.31942,4.2698,6.2723,0.51866,1.1696,0.74755,1.1744,2.7033,0.16927,0.000692,0.000083,0,0,0,0,66.908,66.887,2.7831,14.137,14.799,8.8223,0.50973,0.41809,4.9528,6.2719,6.0802,35.024,0.13025,0.99157,0.28051,0.93787,2
0.2857,4.5932,6.6321,0.59185,1.2406,0.74365,1.1179,2.843,0.17201,0.001334,0.000058,0.000001,0,0,0,75.778,68.603,6.0244,13.549,14.602,10.963,0.38117,0.13452,3.0095,7.2379,6.4385,15.894,0.14322,0.9903,0.25915,0.93101,2
0.30228,4.4059,6.4477,0.56947,1.2165,0.73055,1.134,2.7423,0.1744,0.001139,0.000093,0,0,0,0,72.673,71.414,2.447,13.658,15.128,7.904,0.41133,0.072418,5.5258,6.4624,5.4524,45.719,0.13149,0.991,0.26478,0.93685,2
0.33635,4.0713,6.1124,0.52706,1.1767,0.73667,1.1879,2.6145,0.17193,0.000769,0.000148,0.000001,0,0,0,72.681,74.426,1.7518,13.264,14.272,7.3746,0.2433,0.22148,7.3547,6.0596,5.584,78.318,0.14436,0.98983,0.26239,0.93116,2
0.28217,4.2114,6.6734,0.56836,1.2154,0.72259,1.2218,2.8229,0.17629,0.001153,0.000131,0,0,0,0,72.276,72.369,1.0594,12.718,14.03,6.174,0.20111,0.090341,8.4949,6.4661,5.8797,97.28,0.13599,0.99081,0.28795,0.93556,2
0.33479,4.0267,6.1266,0.59148,1.2402,0.74379,1.1783,2.6266,0.17197,0.001329,0.000068,0.000001,0,0,0,75.296,75.984,11.728,12.58,13.575,13.765,-0.016277,-0.1447,1.5663,7.2147,6.5432,6.4344,0.11492,0.99133,0.28308,0.9455,2
0.24897,4.5731,7.1045,0.50692,1.1601,0.71184,1.2169,2.9888,0.17754,0.000685,0.000257,0,0,0,0,77.681,78.568,3.4308,14.071,15.057,9.7654,0.20464,0.029271,4.5438,6.0945,5.5256,31.039,0.12209,0.99091,0.28877,0.94182,2
0.2847,4.2542,6.6437,0.64284,1.3055,0.72759,1.1659,2.8085,0.17794,0.002148,0.000117,0.000001,0,0,0,73.75,72.706,1.82,12.082,13.67,7.0293,0.23335,-0.006794,6.2733,6.6976,6.0319,56.609,0.13074,0.99109,0.29153,0.93802,2
0.26361,4.6916,6.9044,0.49748,1.1528,0.72901,1.1703,2.9401,0.1732,0.000598,0.000111,0.000001,0,0,0,77.923,80.761,0.3682,16.098,14.99,4.4619,0.22519,-0.097818,17.016,5.1207,5.4266,352.19,0.11443,0.99159,0.30539,0.94427,2
0.32583,4.0486,6.2103,0.52757,1.1771,0.73717,1.2139,2.6572,0.17183,0.000772,0.000117,0,0,0,0,77.85,72.838,7.9813,12.387,13.696,12.569,0.17431,0.28171,2.3893,7.6072,6.4587,10.806,0.13017,0.99081,0.28146,0.93767,2
0.2434,4.4553,7.1853,0.58364,1.2315,0.71753,1.231,3.0268,0.178,0.001335,0.000204,0.000005,0,0,0,79.917,82.872,4.7895,14.53,14.193,10.739,0.52315,0.07176,3.5485,6.782,6.315,20.136,0.10141,0.99215,0.32557,0.9512,2
0.23797,4.7891,7.2669,0.617,1.2707,0.69812,1.1247,3.0142,0.18422,0.001875,0.000599,0.000002,0,0,0,76.057,62.083,3.7924,11.716,14.926,9.9031,0.36539,0.26359,3.9719,7.1302,5.9445,23.833,0.11302,0.99288,0.30337,0.94659,2
0.28791,4.3449,6.6066,0.62686,1.2835,0.71708,1.1365,2.7756,0.17977,0.001932,0.000074,0.000003,0,0,0,85.745,75.372,5.8309,12.129,15.022,11.262,-0.32039,-0.38791,2.9093,7.5753,6.2317,15.112,0.11459,0.99131,0.30868,0.94663,2
0.2364,4.5298,7.2908,0.56992,1.217,0.70719,1.2269,3.0509,0.18017,0.001221,0.000321,0.000001,0,0,0,80.624,81.487,0.96233,13.928,14.089,5.582,0.11481,-0.29954,8.651,6.6242,6.5548,99.575,0.082153,0.99378,0.36079,0.96063,2
0.3075,4.3604,6.3927,0.55667,1.2038,0.73559,1.1461,2.7296,0.17286,0.001005,0.000108,0,0,0,0,74.642,69.142,1.5844,12.666,14.326,6.9057,0.31571,0.10277,6.9186,6.9564,6.32,65.419,0.14965,0.98991,0.26113,0.92843,2
0.2104,5.1932,7.7283,0.59723,1.2468,0.73402,1.1419,3.2906,0.17445,0.001434,0.000018,0,0,0,0,68.83,67.941,9.5056,14.621,15.328,12.887,0.54296,0.13494,1.9699,7.9519,6.2425,8.5401,0.13189,0.99147,0.28251,0.93648,2
0.28865,4.3654,6.5982,0.38136,1.0818,0.72608,1.2383,2.809,0.17269,0.000183,0.000353,0.000001,0,0,0,68.195,65.263,4.929,12.178,13.503,9.7708,0.29527,0.19984,3.1587,7.6657,6.7381,16.832,0.11131,0.99306,0.31376,0.94668,2
